"Frequency (Hz)","Rel. amplitude (a.u.)"
5.208342518E-1,8.344372438E-1
5.208342518E-1,8.320635175E-1
5.208342518E-1,8.308847175E-1
5.208342518E-1,8.285437205E-1
5.208342518E-1,8.262234484E-1
5.208342518E-1,8.250719368E-1
5.208342518E-1,8.239269137E-1
5.208342518E-1,8.227890862E-1
5.208342518E-1,8.216573226E-1
5.208342518E-1,8.205315299E-1
5.208342518E-1,8.182981374E-1
5.208342518E-1,8.182981374E-1
5.208342518E-1,8.160964492E-1
5.208342518E-1,8.150104893E-1
5.208342518E-1,8.128528488E-1
5.208342518E-1,8.117772366E-1
5.208342518E-1,8.107095667E-1
5.208342518E-1,8.085852410E-1
5.208342518E-1,8.075282997E-1
5.208342518E-1,8.064734072E-1
5.208342518E-1,8.054231156E-1
5.208342518E-1,8.033320062E-1
5.208342518E-1,8.022834984E-1
5.208342518E-1,8.012390850E-1
5.208342518E-1,8.002034585E-1
5.208342518E-1,7.981349161E-1
5.208342518E-1,7.971060085E-1
5.208342518E-1,7.960813197E-1
5.208342518E-1,7.950604055E-1
5.208342518E-1,7.930271118E-1
5.208342518E-1,7.920153527E-1
5.208342518E-1,7.910079632E-1
5.208342518E-1,7.890072537E-1
5.208342518E-1,7.880121025E-1
5.208342518E-1,7.860295410E-1
5.208342518E-1,7.850457513E-1
5.208342518E-1,7.830895844E-1
5.208342518E-1,7.811496843E-1
5.208342518E-1,7.801844561E-1
5.208342518E-1,7.782637792E-1
5.208342518E-1,7.773119289E-1
5.208342518E-1,7.763625607E-1
5.208342518E-1,7.744750307E-1
5.208342518E-1,7.735362486E-1
5.208342518E-1,7.726008716E-1
5.208342518E-1,7.716683986E-1
5.208342518E-1,7.707386719E-1
5.208342518E-1,7.688907515E-1
5.208342518E-1,7.679718656E-1
5.208342518E-1,7.679718656E-1
5.208342518E-1,7.661418751E-1
5.208342518E-1,7.652321814E-1
5.208342518E-1,7.643221456E-1
5.208342518E-1,7.634155279E-1
5.208342518E-1,7.625112082E-1
5.208342518E-1,7.607150664E-1
5.208342518E-1,7.598181506E-1
5.208342518E-1,7.589242387E-1
5.208342518E-1,7.580324846E-1
5.208342518E-1,7.562605234E-1
5.208342518E-1,7.553780856E-1
5.208342518E-1,7.544979734E-1
5.208342518E-1,7.536212891E-1
5.208342518E-1,7.518856260E-1
5.208342518E-1,7.510203141E-1
5.208342518E-1,7.501559638E-1
5.208342518E-1,7.484375499E-1
5.208342518E-1,7.475892025E-1
5.208342518E-1,7.459105486E-1
5.208342518E-1,7.450795165E-1
5.208342518E-1,7.442495048E-1
5.208342518E-1,7.434223542E-1
5.208342518E-1,7.426004008E-1
5.208342518E-1,7.409701905E-1
5.208342518E-1,7.393597475E-1
5.208342518E-1,7.385623441E-1
5.208342518E-1,7.377666236E-1
5.208342518E-1,7.369749907E-1
5.208342518E-1,7.353886295E-1
5.208342518E-1,7.345961732E-1
5.208342518E-1,7.330163164E-1
5.208342518E-1,7.314304553E-1
5.208342518E-1,7.306388795E-1
5.208342518E-1,7.290578261E-1
5.208342518E-1,7.282680382E-1
5.208342518E-1,7.266963491E-1
5.208342518E-1,7.251327150E-1
5.208342518E-1,7.243543477E-1
5.208342518E-1,7.228051467E-1
5.208342518E-1,7.220341567E-1
5.208342518E-1,7.204998480E-1
5.208342518E-1,7.197369341E-1
5.208342518E-1,7.182187107E-1
5.208342518E-1,7.174646223E-1
5.208342518E-1,7.159675006E-1
5.208342518E-1,7.152276695E-1
5.208342518E-1,7.144913289E-1
5.208342518E-1,7.130306990E-1
5.208342518E-1,7.123032018E-1
5.208342518E-1,7.108597104E-1
5.208342518E-1,7.094281140E-1
5.208342518E-1,7.087117405E-1
5.208342518E-1,7.079985462E-1
5.208342518E-1,7.065716321E-1
5.208342518E-1,7.058581884E-1
5.208342518E-1,7.044460007E-1
5.208342518E-1,7.030326771E-1
5.208342518E-1,7.023261746E-1
5.208342518E-1,7.016199439E-1
5.208342518E-1,7.002156810E-1
5.194813629E-1,7.038630146E-1
5.181342258E-1,7.075254447E-1
5.181349948E-1,7.075264610E-1
5.167997606E-1,7.111873384E-1
5.167959353E-1,7.111970205E-1
5.167959353E-1,7.111970205E-1
5.167923882E-1,7.112115181E-1
5.141402632E-1,7.185754912E-1
5.141396437E-1,7.185794837E-1
5.128211978E-1,7.222781069E-1
5.128229784E-1,7.222765402E-1
5.128177051E-1,7.223073406E-1
5.115067710E-1,7.260235946E-1
5.102023870E-1,7.297601339E-1
5.115114044E-1,7.260454368E-1
5.115081339E-1,7.260574967E-1
5.128235263E-1,7.223301579E-1
5.128265397E-1,7.223067805E-1
5.141452196E-1,7.185876200E-1
5.141421906E-1,7.185864178E-1
5.141406073E-1,7.185823734E-1
5.154653016E-1,7.148844666E-1
5.154649555E-1,7.148776034E-1
5.141439805E-1,7.185407602E-1
5.154681385E-1,7.148369203E-1
5.141441869E-1,7.185141018E-1
5.141416400E-1,7.185152012E-1
5.167978827E-1,7.111376207E-1
5.167981609E-1,7.111311376E-1
5.167971873E-1,7.111337211E-1
5.167948224E-1,7.111426556E-1
5.154637100E-1,7.148229283E-1
5.154644020E-1,7.148270898E-1
5.154662010E-1,7.148198560E-1
5.168133238E-1,7.111011426E-1
5.167948224E-1,7.111612061E-1
5.154646096E-1,7.148455078E-1
5.167957962E-1,7.111675862E-1
5.167961439E-1,7.111672062E-1
5.167979523E-1,7.111666297E-1
5.154632256E-1,7.148644338E-1
5.141434986E-1,7.185450091E-1
5.141511399E-1,7.185317480E-1
5.154640560E-1,7.148837267E-1
5.167982304E-1,7.112061133E-1
5.181355541E-1,7.075510149E-1
5.168038643E-1,7.112115194E-1
5.167977436E-1,7.112149386E-1
5.167977436E-1,7.111405192E-1
5.167939878E-1,7.111103845E-1
5.167970481E-1,7.111071403E-1
5.167743752E-1,7.110773041E-1
5.168003171E-1,7.105512229E-1
5.167793825E-1,7.102357251E-1
5.141412269E-1,7.167118127E-1
5.128131166E-1,7.200151052E-1
5.141427414E-1,7.154646898E-1
5.141420530E-1,7.151459767E-1
5.101979809E-1,7.259716071E-1
5.115103823E-1,7.222192854E-1
5.115052721E-1,7.222003522E-1
5.115085427E-1,7.221807418E-1
5.102056409E-1,7.258805968E-1
5.089003896E-1,7.296170760E-1
5.089065269E-1,7.296057535E-1
5.089076061E-1,7.295917381E-1
5.076272985E-1,7.332712919E-1
5.076208565E-1,7.332967035E-1
5.102053018E-1,6.910653044E-1
5.128229098E-1,6.500332401E-1
5.194822061E-1,5.706456537E-1
5.221965490E-1,5.409834563E-1
5.263160060E-1,5.148093326E-1
5.333345926E-1,4.845068732E-1
6.493527357E-1,3.228286063E-1
6.493345083E-1,3.219135144E-1
6.514709928E-1,3.190269423E-1
6.514636983E-1,3.188252146E-1
6.514644718E-1,3.187482045E-1
6.493553711E-1,3.205965870E-1
6.493532847E-1,3.204919545E-1
6.493530652E-1,3.204453750E-1
6.514729823E-1,3.182672253E-1
6.514657980E-1,3.182005785E-1
4.338371268E-1,7.172018423E-1
4.328889647E-1,7.197390926E-1
4.329010674E-1,7.195887679E-1
4.338402147E-1,7.164781144E-1
4.366765053E-1,7.049110881E-1
4.366804779E-1,7.025278107E-1
4.357293532E-1,7.010407067E-1
4.357289576E-1,6.982628454E-1
4.366792365E-1,6.944263867E-1
4.376326718E-1,6.908426714E-1
4.366664745E-1,6.932543299E-1
4.366820173E-1,6.931084013E-1
4.385856710E-1,6.870917996E-1
4.385968921E-1,6.870302563E-1
4.395673834E-1,6.838478499E-1
4.385942370E-1,6.864994783E-1
4.376228963E-1,6.886841716E-1
4.376354150E-1,6.879625201E-1
4.494350988E-1,6.513995759E-1
4.524873550E-1,6.420063404E-1
6.593386971E-1,2.981677416E-1
6.607893888E-1,2.882476473E-1
6.666495376E-1,2.577448607E-1
6.622531025E-1,2.521041455E-1
5.290981963E-1,3.809349826E-1
5.347569753E-1,3.700588106E-1
5.376295913E-1,3.632950436E-1
5.347542944E-1,3.667926257E-1
5.319106202E-1,3.702216699E-1
5.290989253E-1,3.740574716E-1
5.291081113E-1,3.740257696E-1
5.290995084E-1,3.739648418E-1
5.347592093E-1,3.632398334E-1
5.347583157E-1,3.526016253E-1
5.494430022E-1,2.603971314E-1
5.681808093E-1,2.304116286E-1
5.780278951E-1,2.152249631E-1
1.213530870E0,4.796541711E-2
1.463419840E0,3.231351072E-2
1.674617153E0,2.450361372E-2
1.466999204E0,3.148439763E-2
1.470589738E0,3.108777066E-2
1.470572654E0,3.081715103E-2
1.965602721E0,1.693897818E-2
1.927674313E0,1.747594038E-2
1.932306620E0,1.728327459E-2
1.970384708E0,1.648776163E-2
1.932377847E0,1.707846419E-2
1.937043074E0,1.693478503E-2
1.763167047E0,2.032034132E-2
1.970460034E0,1.622165866E-2
1.970460034E0,1.622165866E-2
1.999991407E0,1.557858734E-2
1.999994011E0,1.549676078E-2
1.932318774E0,1.647820969E-2
1.736965522E0,2.035190996E-2
1.719854841E0,2.073970205E-2
1.728344830E0,2.053569903E-2
1.728390839E0,2.053143058E-2
1.728388616E0,2.052754353E-2
1.741278869E0,2.021927774E-2
1.728389061E0,2.050662616E-2
1.728379726E0,2.049427401E-2
1.745602129E0,1.999517765E-2
1.481482434E0,2.764965388E-2
1.481475385E0,2.760638349E-2
1.474189778E0,2.786080790E-2
1.470587109E0,2.799959489E-2
1.481490627E0,2.758124773E-2
1.492512175E0,2.713322943E-2
1.534369273E0,2.566785013E-2
1.492540601E0,2.710275068E-2
1.474154313E0,2.754491665E-2
1.474206191E0,2.716213010E-2
1.496282090E0,2.193180222E-2
1.970450428E0,1.022165297E-2
4.116086762E0,1.345405432E-3
4.096362408E0,1.146654340E-3
9.852206642E-1,1.867195586E-2
9.901001588E-1,1.757117774E-2
9.900977336E-1,1.529900730E-2
9.950345445E-1,8.750210556E-3
9.950292589E-1,8.766502778E-3
9.950592975E-1,8.780100706E-3
9.975221706E-1,8.732160198E-3
9.950286144E-1,8.774732663E-3
9.901339854E-1,8.854080120E-3
9.900662069E-1,8.850972857E-3
9.876662605E-1,8.872320726E-3
9.852209168E-1,8.893251486E-3
9.827718056E-1,8.922613597E-3
9.827149653E-1,8.903786129E-3
9.827964552E-1,8.888713540E-3
9.827980904E-1,8.883234658E-3
9.780047000E-1,8.974763288E-3
9.779685836E-1,8.997996309E-3
9.779934912E-1,9.003433076E-3
9.780256237E-1,9.015078783E-3
9.777967567E-1,9.028418463E-3
9.779943630E-1,9.011012946E-3
9.805612669E-1,8.950242758E-3
9.804283275E-1,8.909832052E-3
9.827754529E-1,8.843060623E-3
9.827963296E-1,8.807474145E-3
9.827671527E-1,8.792010263E-3
9.827218812E-1,8.781316021E-3
9.804245724E-1,8.822522042E-3
9.803964122E-1,8.829198769E-3
9.779977255E-1,8.892343869E-3
9.779598664E-1,8.886546966E-3
9.779992200E-1,8.878434963E-3
9.780140407E-1,8.864090712E-3
9.804251982E-1,8.826749458E-3
9.803942847E-1,8.826794123E-3
9.828097868E-1,8.782365887E-3
9.852253401E-1,8.737171276E-3
9.876534319E-1,8.691147873E-3
9.852115641E-1,8.727899654E-3
9.827797284E-1,8.739051960E-3
9.828040015E-1,8.723185183E-3
9.852062559E-1,8.627405772E-3
9.825740244E-1,8.658730776E-3
9.804231957E-1,8.684852337E-3
9.829378375E-1,8.623326142E-3
9.827973358E-1,8.624692723E-3
9.828022406E-1,8.635574283E-3
9.852204111E-1,8.610473746E-3
9.852159876E-1,8.620175936E-3
9.852197794E-1,8.621872231E-3
9.852215487E-1,8.575082443E-3
9.925535225E-1,8.413505539E-3
9.901184123E-1,8.370481741E-3
9.925353075E-1,8.233443992E-3
9.925539072E-1,8.187367338E-3
9.950202349E-1,8.063867723E-3
9.926036809E-1,8.059326736E-3
9.900665899E-1,8.104916859E-3
9.900959467E-1,8.121572825E-3
9.876251090E-1,8.172197100E-3
9.852127017E-1,8.207848333E-3
9.827739435E-1,8.228724145E-3
9.804384655E-1,8.257023606E-3
9.828292815E-1,8.151683996E-3
9.827945688E-1,8.106203653E-3
9.827813636E-1,7.986590381E-3
9.755770388E-1,8.022010064E-3
9.732649938E-1,8.013060642E-3
9.732352697E-1,7.991072472E-3
9.732040680E-1,7.976032315E-3
9.732384767E-1,7.973630109E-3
9.732485900E-1,7.992545888E-3
9.732382297E-1,8.008362408E-3
9.732376131E-1,7.998944291E-3
9.732669672E-1,7.983151431E-3
9.732374900E-1,7.958609020E-3
9.779608627E-1,7.873056515E-3
9.756163249E-1,7.897664999E-3
9.781535520E-1,7.831667323E-3
9.803501078E-1,7.777227879E-3
9.779924950E-1,7.803300800E-3
9.779938647E-1,7.797103616E-3
9.779504019E-1,7.802730542E-3
9.780215137E-1,7.801564662E-3
9.779853962E-1,7.803467428E-3
9.779927437E-1,7.805939321E-3
9.685199489E-1,7.969156365E-3
9.661855199E-1,8.005888382E-3
9.661830888E-1,8.010776063E-3
9.661700830E-1,8.019016903E-3
9.639045365E-1,8.059472920E-3
9.661753096E-1,8.020981892E-3
9.638831239E-1,8.064003077E-3
9.616152733E-1,8.105028189E-3
9.615421938E-1,8.108294289E-3
9.638517927E-1,8.068530364E-3
9.638550589E-1,8.068692239E-3
9.615498984E-1,8.108437197E-3
9.661416418E-1,8.031099714E-3
9.661556191E-1,8.032458485E-3
9.661730002E-1,8.040677530E-3
9.661534314E-1,8.045768429E-3
9.661783484E-1,8.065629148E-3
9.662123834E-1,8.078052593E-3
9.686043549E-1,8.038286300E-3
9.685170178E-1,8.040010713E-3
9.779679610E-1,7.891460229E-3
9.708784504E-1,8.013592780E-3
9.732019716E-1,7.958139018E-3
9.708698591E-1,7.970297503E-3
9.708807824E-1,7.953811862E-3
9.733968611E-1,7.888273336E-3
9.803835216E-1,7.726616661E-3
9.756320648E-1,7.787000377E-3
9.732585801E-1,7.809586596E-3
9.733075476E-1,7.799035061E-3
9.756126068E-1,7.769393679E-3
9.756696201E-1,7.793847308E-3
9.779939893E-1,7.767417571E-3
9.803912810E-1,7.740068050E-3
9.803930332E-1,7.746784505E-3
9.780291110E-1,7.757527303E-3
9.803935337E-1,7.651003053E-3
9.828424882E-1,7.574492266E-3
9.852188947E-1,7.502458635E-3
9.827960780E-1,7.468608291E-3
9.827602359E-1,7.452628290E-3
9.803909054E-1,7.468392894E-3
9.779917478E-1,7.506403091E-3
9.756154573E-1,7.552111790E-3
9.780046997E-1,7.516940812E-3
9.803596185E-1,7.473913053E-3
9.802417472E-1,7.473774060E-3
9.802417472E-1,7.473774060E-3
9.803927828E-1,7.450526847E-3
9.780095571E-1,7.514741189E-3
9.782205813E-1,7.650364716E-3
9.779931175E-1,7.814670536E-3
9.780413171E-1,7.777221102E-3
9.779999673E-1,7.707378098E-3
9.803947852E-1,7.651346540E-3
9.779842752E-1,7.666999377E-3
9.732288566E-1,7.721774676E-3
9.732373663E-1,7.719969717E-3
9.803872761E-1,7.608088201E-3
9.803846478E-1,7.605315031E-3
9.779964802E-1,7.627832729E-3
9.708726819E-1,7.719149218E-3
9.779936155E-1,7.624900261E-3
9.732345298E-1,7.776920236E-3
9.732351466E-1,7.855906327E-3
9.732381063E-1,7.954610803E-3
9.732661038E-1,8.100170598E-3
9.708655635E-1,8.500155604E-3
9.709016478E-1,8.679198602E-3
8.180183018E-1,1.265006776E-2
9.756350396E-1,9.028938454E-3
8.230374175E-1,1.300981147E-2
8.180111573E-1,1.324170003E-2
8.196527983E-1,1.322498229E-2
8.130006427E-1,1.344441105E-2
8.080785125E-1,1.358887397E-2
8.114888223E-1,1.349520053E-2
9.584704413E-1,9.741424582E-3
9.554390525E-1,9.926334280E-3
9.554119525E-1,1.018440804E-2
9.553948379E-1,1.033765923E-2
9.554449165E-1,1.068922740E-2
1.253902527E0,6.314791247E-3
1.238365931E0,6.570140874E-3
1.249996338E0,6.568835536E-3
1.253851758E0,6.567494555E-3
1.253913173E0,6.610455478E-3
1.234570680E0,6.822579477E-3
1.246105313E0,6.689500389E-3
1.242280834E0,6.728654315E-3
1.226987592E0,6.917864032E-3
1.212150292E0,7.123748155E-3
1.234569092E0,6.967121508E-3
1.219578039E0,7.190601609E-3
1.223273739E0,7.204619680E-3
1.223244123E0,7.239580401E-3
1.226993865E0,7.221135336E-3
1.183492134E0,7.794342680E-3
9.174319599E-1,1.296711058E-2
9.174372204E-1,1.294991819E-2
1.173020349E0,7.901469982E-3
1.215807396E0,7.352942045E-3
1.146794745E0,8.280545054E-3
1.146818445E0,8.307517224E-3
1.257861017E0,6.979095683E-3
1.146804060E0,8.441420618E-3
1.257832382E0,7.132180299E-3
1.227008568E0,7.550996282E-3
1.223227562E0,7.614566791E-3
1.223258152E0,7.622646732E-3
1.234523051E0,7.482251871E-3
1.265834052E0,7.131595784E-3
1.246104302E0,7.376269420E-3
1.162785487E0,8.506579236E-3
1.160139913E0,8.647523654E-3
1.162829149E0,8.671789285E-3
1.162804923E0,8.798150695E-3
1.162794782E0,8.855442121E-3
1.165508382E0,8.899817059E-3
1.170958617E0,8.878260170E-3
1.168225721E0,8.931950765E-3
1.168231549E0,8.933830557E-3
1.165462679E0,8.976840903E-3
1.162779853E0,9.034419226E-3
1.215815095E0,8.292234143E-3
1.162794782E0,9.128316462E-3
1.162793374E0,9.204595097E-3
1.160132342E0,9.307984386E-3
1.162793656E0,9.470110390E-3
1.165475131E0,9.571324251E-3
1.226989944E0,8.786005771E-3
1.204820412E0,9.487170977E-3
1.194077191E0,1.013076656E-2
1.183482468E0,1.048933485E-2
1.186957929E0,1.054368912E-2
9.216562212E-1,1.762721114E-2
9.216547833E-1,1.771864212E-2
9.237673060E-1,1.763787664E-2
9.237900848E-1,1.763693322E-2
9.259238051E-1,1.755665526E-2
9.258962327E-1,1.756014213E-2
9.280393682E-1,1.748398418E-2
9.258847354E-1,1.757186865E-2
9.237897513E-1,1.766313626E-2
9.216832097E-1,1.774598208E-2
9.237935295E-1,1.766498997E-2
9.237915293E-1,1.766502906E-2
9.259077303E-1,1.758240750E-2
9.280663955E-1,1.750227984E-2
9.216190593E-1,1.775329508E-2
9.091196420E-1,1.825544829E-2
9.090856364E-1,1.825886967E-2
9.071266492E-1,1.832856853E-2
9.070266934E-1,1.833550279E-2
9.009051283E-1,1.860081885E-2
9.029249834E-1,1.852959045E-2
8.988779827E-1,1.871524515E-2
1.139551934E0,1.166219709E-2
9.029457902E-1,1.859013850E-2
9.049787619E-1,1.850761446E-2
9.049606338E-1,1.851030265E-2
9.070359059E-1,1.843878119E-2
8.988574681E-1,1.879959260E-2
8.928865198E-1,1.905893228E-2
1.146118806E0,1.156605018E-2
8.908672534E-1,1.914160343E-2
8.948525009E-1,1.897283311E-2
8.810532258E-1,1.956089921E-2
8.810568647E-1,1.954751835E-2
8.810614128E-1,1.954021038E-2
1.156069538E0,1.135116113E-2
1.166182529E0,1.115502362E-2
1.152703322E0,1.141452209E-2
8.968611961E-1,1.885407361E-2
8.988486313E-1,1.876015858E-2
8.908665302E-1,1.905124069E-2
8.830036289E-1,1.937418603E-2
8.791169546E-1,1.953244012E-2
8.829764217E-1,1.938041919E-2
8.830041367E-1,1.942939609E-2
8.830034260E-1,1.945755484E-2
9.661836965E-1,1.630459903E-2
9.684564409E-1,1.629160792E-2
9.685170178E-1,1.635260428E-2
9.661593868E-1,1.644670893E-2
9.638556637E-1,1.652430569E-2
9.615456849E-1,1.659365131E-2
9.615126999E-1,1.660054430E-2
9.615708464E-1,1.664511412E-2
9.615378597E-1,1.677624822E-2
9.685280104E-1,1.661330118E-2
9.685144528E-1,1.677883380E-2
9.662131128E-1,1.693749219E-2
9.661853983E-1,1.702558098E-2
9.708725594E-1,1.698201064E-2
9.732205938E-1,1.694093416E-2
9.732374900E-1,1.698090413E-2
9.732328033E-1,1.699074408E-2
9.732366264E-1,1.699055122E-2
1.201216607E0,1.118070220E-2
1.197559598E0,1.127500942E-2
9.803564899E-1,1.694997076E-2
9.803924072E-1,1.702737385E-2
9.803777648E-1,1.718004939E-2
9.876103765E-1,1.700452445E-2
9.876558454E-1,1.707297159E-2
1.234566909E0,1.098380020E-2
9.852202849E-1,1.727521999E-2
9.828043787E-1,1.739508045E-2
9.828081520E-1,1.740572517E-2
9.852053712E-1,1.732431989E-2
9.828187165E-1,1.740772580E-2
9.851908372E-1,1.733037987E-2
9.827827470E-1,1.742804113E-2
9.803956613E-1,1.752214627E-2
9.803627472E-1,1.756283321E-2
1.238395684E0,1.102322340E-2
9.803750114E-1,1.761358559E-2
9.804387159E-1,1.762949371E-2
9.780232572E-1,1.774847438E-2
9.756065340E-1,1.785477373E-2
9.755808803E-1,1.785855369E-2
9.732362567E-1,1.794086581E-2
9.709016480E-1,1.802183139E-2
9.732352700E-1,1.793122258E-2
9.756033116E-1,1.785010575E-2
9.732347765E-1,1.795037921E-2
9.708707180E-1,1.804647099E-2
9.685216592E-1,1.814374365E-2
9.708689999E-1,1.805904696E-2
9.732496999E-1,1.796853125E-2
9.732337900E-1,1.796722537E-2
9.755998416E-1,1.788282688E-2
9.756143420E-1,1.788334268E-2
9.802117208E-1,1.772518036E-2
9.779951103E-1,1.780893695E-2
9.852161140E-1,1.755695891E-2
9.851888152E-1,1.756190009E-2
9.804260743E-1,1.774027730E-2
9.828050075E-1,1.766035885E-2
9.804289530E-1,1.774741255E-2
9.851883098E-1,1.756518033E-2
9.852218013E-1,1.755363865E-2
9.852180099E-1,1.754331267E-2
9.852253404E-1,1.754018079E-2
9.827982160E-1,1.762045384E-2
9.828003540E-1,1.762072916E-2
9.804255738E-1,1.770902646E-2
9.828446264E-1,1.762739707E-2
9.852162404E-1,1.754281925E-2
1.226993081E0,1.131198509E-2
9.827978388E-1,1.763254034E-2
9.828262629E-1,1.763174593E-2
9.827979644E-1,1.764079753E-2
9.827646372E-1,1.765702344E-2
9.803949104E-1,1.774672225E-2
9.803902799E-1,1.775711984E-2
9.827718056E-1,1.767254908E-2
9.852516299E-1,1.759061566E-2
9.876287921E-1,1.750838796E-2
9.876573696E-1,1.750967777E-2
9.900813955E-1,1.742600093E-2
9.876585126E-1,1.750901458E-2
9.900671003E-1,1.742643860E-2
9.876597829E-1,1.751321095E-2
9.950274540E-1,1.726361845E-2
9.950222975E-1,1.728153212E-2
9.950149495E-1,1.730066232E-2
9.950269384E-1,1.732051435E-2
9.925873884E-1,1.742785354E-2
9.925592949E-1,1.747993278E-2
9.901075621E-1,1.757877640E-2
9.901319431E-1,1.760901728E-2
9.901367937E-1,1.761996450E-2
9.925558313E-1,1.755524511E-2
9.925895695E-1,1.756198608E-2
9.925241481E-1,1.756660387E-2
9.925587818E-1,1.756533417E-2
9.925655806E-1,1.756493352E-2
9.949947102E-1,1.748034894E-2
9.925563445E-1,1.758399071E-2
9.999957033E-1,1.734543781E-2
1.002499068E0,1.727081738E-2
1.002504957E0,1.728705062E-2
1.005019207E0,1.724256017E-2
1.004974625E0,1.726310385E-2
1.005012500E0,1.727989054E-2
1.000075396E0,1.747129077E-2
9.999997398E-1,1.746830312E-2
1.002528644E0,1.738023325E-2
1.002496582E0,1.736611469E-2
9.999941408E-1,1.744664496E-2
1.002527728E0,1.736516023E-2
1.000024871E0,1.745561025E-2
1.002497367E0,1.738001629E-2
1.002503910E0,1.739221228E-2
1.005024994E0,1.730850150E-2
1.004975151E0,1.731427960E-2
1.005020260E0,1.731680847E-2
1.005014078E0,1.731624443E-2
9.950264226E-1,1.766272138E-2
1.002507705E0,1.739891929E-2
1.002499984E0,1.740074629E-2
1.002501947E0,1.741557663E-2
1.002470280E0,1.744498740E-2
1.002501816E0,1.745473210E-2
1.000029038E0,1.757423820E-2
9.999990885E-1,1.759282676E-2
9.999912763E-1,1.759384502E-2
9.975007929E-1,1.768186896E-2
9.999890629E-1,1.759429422E-2
9.975010521E-1,1.769462004E-2
9.975312404E-1,1.773232129E-2
9.999325565E-1,1.768501220E-2
9.975186726E-1,1.781214287E-2
1.000007292E0,1.777833611E-2
1.005042092E0,1.764367777E-2
1.007551917E0,1.757956019E-2
1.010125456E0,1.752372169E-2
1.010094501E0,1.754074225E-2
1.010089452E0,1.753918457E-2
1.010096228E0,1.753388225E-2
1.010105527E0,1.753144253E-2
1.010097025E0,1.753254983E-2
1.007551784E0,1.764299713E-2
1.007546101E0,1.766562420E-2
1.005016314E0,1.779704034E-2
1.269820064E0,1.117350046E-2
1.005025257E0,1.785426792E-2
1.030897834E0,1.700654973E-2
1.010095563E0,1.773560026E-2
1.007584963E0,1.783270262E-2
1.007544250E0,1.784098129E-2
1.005046959E0,1.792985249E-2
1.005028019E0,1.792970777E-2
1.005013552E0,1.792936203E-2
1.002688982E0,1.801980908E-2
1.005012895E0,1.794116103E-2
1.002532701E0,1.803506994E-2
1.005048537E0,1.794577188E-2
1.007547819E0,1.785901647E-2
1.007551520E0,1.786462538E-2
1.005021969E0,1.795672320E-2
1.002499069E0,1.805506635E-2
1.002500377E0,1.806227730E-2
1.000027996E0,1.815924359E-2
1.002531915E0,1.806791490E-2
1.002506135E0,1.806676195E-2
1.005017366E0,1.797342430E-2
1.005012237E0,1.797388451E-2
1.002502863E0,1.806415042E-2
1.004987775E0,1.797743190E-2
1.005016972E0,1.797862084E-2
